"publisherName","gameName","foundedBy","foundedDate"
"Capcom Co. Ltd.","Cadillacs and Dinosaurs","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Bethesda Softworks LLC","Call of Cthulhu:","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Bethesda Softworks LLC","Dark Corners of the Earth","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Ubisoft Entertainment SA","Call of Cthulhu:","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Dark Corners of the Earth","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Call of Juarez: Bound in Blood","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Capcom Co. Ltd.","Cannon Spike","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom's Gold Medal Challenge '92","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom's MVP Football","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom Arcade Cabinet","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom Arcade 2nd Stadium","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom Arcade Stadium","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom Beat 'Em Up Bundle","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom Digital Collection","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom Fighting All-Stars: Code Holder","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom Fighting Collection","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom Fighting Jam","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom Puzzle World","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom vs. SNK: Millennium Fight 2000","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Capcom vs. SNK 2","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Captain Commando","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Devolver Digital Inc.","Card Shark","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Capcom Co. Ltd.","Carrier Air Wing","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Devolver Digital Inc.","Carrion","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Capcom Co. Ltd.","Power Quest","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Animoca Brands Corporation Ltd","Power Rangers: Legacy Wars","http://dbpedia.org/resource/Yat_Siu",2014-01-01
"Capcom Co. Ltd.","Power Stone","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Bethesda Softworks LLC","Prey","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Bethesda Softworks LLC","Prey 2","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Capcom Co. Ltd.","PrideGP Grand Prix 2003","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","The Forgotten Sands","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Prince of Persia:","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","The Forgotten Sands","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Prince of Persia:","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","The Sands of Time","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Prince of Persia:","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Prince of Persia: The Two Thrones","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Prince of Persia: Warrior Within","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Prince of Persia","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Prince of Persia","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","The Shadow and the Flame","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Prince of Persia 2:","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Prince of Persia Classic","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Pro Tennis Tour 2","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Capcom Co. Ltd.","Progear","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Project Justice","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","Protöthea","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Humongous Entertainment Inc.","Putt-Putt Enters the Race","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Enters the Race","http://dbpedia.org/resource/Shelley_Day",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Goes to the Moon","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Goes to the Moon","http://dbpedia.org/resource/Shelley_Day",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Joins the Circus","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Joins the Circus","http://dbpedia.org/resource/Shelley_Day",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Joins the Parade","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Joins the Parade","http://dbpedia.org/resource/Shelley_Day",1992-01-01
"Humongous Entertainment Inc.","","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Saves the Zoo","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","","http://dbpedia.org/resource/Shelley_Day",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Saves the Zoo","http://dbpedia.org/resource/Shelley_Day",1992-01-01
"Humongous Entertainment Inc.","","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Travels Through Time","http://dbpedia.org/resource/Ron_Gilbert",1992-01-01
"Humongous Entertainment Inc.","","http://dbpedia.org/resource/Shelley_Day",1992-01-01
"Humongous Entertainment Inc.","Putt-Putt Travels Through Time","http://dbpedia.org/resource/Shelley_Day",1992-01-01
"Capcom Co. Ltd.","Puzz Loop","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Puzzle Fighter","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Blendo Games","Quadrilateral Cowboy","http://dbpedia.org/resource/Brendon_Chung",2010-01-01
"Bethesda Softworks LLC","Quake","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Bethesda Softworks LLC","Quake 4","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Bethesda Softworks LLC","Quake Champions","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Bethesda Softworks LLC","Quake III Arena","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Ubisoft Entertainment SA","Rocket: Robot on Wheels","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Capcom Co. Ltd.","Rocketmen: Axis of Evil","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Rockman EXE Legend of Network","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Rockman EXE Phantom of Network","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","Rocksmith","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Rocksmith 2014","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Rocky Balboa","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Rocky Legends","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Bethesda Softworks LLC","Rogue Warrior","http://dbpedia.org/resource/Christopher_Weaver",1986-01-01
"Ubisoft Entertainment SA","Roller Champions","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Devolver Digital Inc.","Ronin","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Ubisoft Entertainment SA","Rugby Challenge 2006","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Devolver Digital Inc.","Ruiner","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Ubisoft Entertainment SA","Sandstorm: Pirate Wars","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Capcom Co. Ltd.","Saturday Night Slam Masters","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","Scott Pilgrim vs. The World: The Game","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Scrabble","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Enlight Software","American McGee Presents: Scrapland","http://dbpedia.org/resource/Trevor_Chan",1993-01-01
"Capcom Co. Ltd.","MotoGP 10/11","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Ubisoft Entertainment SA","Myst Online: Uru Live","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Devolver Digital Inc.","The Messenger","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
